step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
325,CASH_OUT,39337.85,C889706582,0.0,0.0,C570409417,5716083.1,5755420.94,0,0
325,CASH_OUT,326892.49,C701617983,0.0,0.0,C484435189,977809.02,1304701.51,0,0
325,CASH_OUT,82866.44,C832972957,0.0,0.0,C1839671429,836112.34,918978.79,0,0
325,CASH_OUT,205426.7,C1769860708,0.0,0.0,C613577845,1314145.16,1519571.86,0,0
325,CASH_OUT,1364.05,C1655918197,0.0,0.0,C955755000,5448975.16,5450339.21,0,0
325,CASH_OUT,112169.98,C1174144307,0.0,0.0,C1708977868,5285062.79,5397232.77,0,0
325,CASH_OUT,288258.19,C1167994833,0.0,0.0,C1361615734,2445085.96,2733344.15,0,0
325,CASH_OUT,71934.75,C1125578696,22040.0,0.0,C1014255081,6749603.53,6821538.28,0,0
325,PAYMENT,21504.62,C992926009,0.0,0.0,M509511410,0.0,0.0,0,0
325,CASH_OUT,62867.26,C713736783,11005.0,0.0,C769683999,130306.04,193173.3,0,0
325,CASH_IN,276646.31,C1591138401,12069.0,288715.31,C305787026,0.0,0.0,0,0
325,CASH_IN,68781.66,C335295891,32032.0,100813.66,C278143037,0.0,0.0,0,0
325,CASH_OUT,193508.77,C2038384648,100813.66,0.0,C1900094770,228768.64,422277.41,0,0
325,CASH_OUT,197631.47,C94074322,0.0,0.0,C927047683,2686564.9,2884196.37,0,0
325,CASH_OUT,522900.34,C1843830992,105711.0,0.0,C1910969389,210628.55,733528.89,0,0
325,CASH_IN,147782.18,C524566610,4059.0,151841.18,C668408291,453724.69,305942.52,0,0
325,TRANSFER,3092665.86,C477656250,31288.0,0.0,C1006390962,4395879.11,7488544.97,0,0
325,TRANSFER,73466.48,C1108584194,19927.0,0.0,C504074310,3009435.23,3082901.71,0,0
325,PAYMENT,53000.0,C439054256,423.0,0.0,M659614327,0.0,0.0,0,0
325,CASH_OUT,346400.11,C2018674563,0.0,0.0,C1392355672,427972.98,774373.1,0,0
325,CASH_OUT,482088.13,C665195580,0.0,0.0,C36458484,833250.05,1315338.19,0,0
325,PAYMENT,31042.14,C1714534807,1081.0,0.0,M1175643252,0.0,0.0,0,0
325,CASH_OUT,301814.95,C714087850,63088.0,0.0,C701654209,3001453.69,3303268.65,0,0
325,CASH_OUT,638857.86,C1023474480,97506.0,0.0,C2000117329,15651.75,654509.61,0,0
325,PAYMENT,2969.81,C1444282374,80950.0,77980.19,M133591028,0.0,0.0,0,0
325,PAYMENT,11606.88,C765550573,60048.0,48441.12,M390264850,0.0,0.0,0,0
325,CASH_OUT,185781.85,C1899158732,163646.0,0.0,C1370328350,0.0,185781.85,0,0
325,TRANSFER,118981.07,C1158649041,0.0,0.0,C1857201732,5455573.74,5574554.8,0,0
325,TRANSFER,6306136.96,C1651959210,0.0,0.0,C491446721,1.022101889E7,1.652715585E7,0,0
325,TRANSFER,6512273.65,C1660162974,0.0,0.0,C959160265,1.351660698E7,2.002888064E7,0,0
325,TRANSFER,2292331.01,C96954288,0.0,0.0,C2032879213,6522155.71,8814486.72,0,0
325,TRANSFER,463190.13,C1020777157,0.0,0.0,C707685295,1541278.49,2004468.62,0,0
325,TRANSFER,491532.88,C1775840064,0.0,0.0,C771174633,744122.98,1315752.08,0,0
325,TRANSFER,319173.01,C737393926,0.0,0.0,C1421590856,1557403.84,1876576.85,0,0
325,TRANSFER,2692.88,C355972399,0.0,0.0,C712612369,748247.15,750940.03,0,0
325,TRANSFER,220014.97,C393485494,0.0,0.0,C1482586148,288663.98,508678.95,0,0
325,CASH_OUT,205048.51,C936879667,27813.0,0.0,C1208788536,0.0,300245.74,0,0
325,CASH_OUT,45120.5,C33171010,256656.0,211535.5,C482473314,207119.13,252239.64,0,0
325,PAYMENT,8037.91,C692872607,31661.0,23623.09,M518671788,0.0,0.0,0,0
325,CASH_OUT,155108.68,C335971964,23413.0,0.0,C1109615048,0.0,155108.68,0,0
