step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
235,CASH_OUT,367596.31,C2086367492,0.0,0.0,C481357007,3877444.29,4245040.6,0,0
235,CASH_OUT,140846.78,C1118095298,0.0,0.0,C1929742790,656763.38,797610.16,0,0
235,CASH_OUT,249927.6,C287823060,0.0,0.0,C263675905,555996.9,805924.5,0,0
235,CASH_OUT,314679.81,C935619331,0.0,0.0,C192595203,973516.28,1200611.36,0,0
235,CASH_OUT,485312.7,C280035246,0.0,0.0,C1582400462,2.435470375E7,2.484001645E7,0,0
235,CASH_OUT,86786.54,C1951314093,0.0,0.0,C862064694,2506660.21,2593446.74,0,0
235,CASH_OUT,209816.35,C1541426052,0.0,0.0,C341378953,1839126.29,2048942.65,0,0
235,CASH_OUT,1651.79,C1340649352,0.0,0.0,C390306411,1.177171199E7,1.177336377E7,0,0
235,CASH_OUT,210580.62,C1479701588,0.0,0.0,C128720477,416619.94,627200.57,0,0
235,CASH_OUT,288769.32,C1509452839,0.0,0.0,C1778857678,575470.0,864239.32,0,0
235,CASH_OUT,150130.55,C1945847,0.0,0.0,C979784399,785098.05,935228.6,0,0
235,CASH_OUT,125158.63,C168020883,0.0,0.0,C884512234,4064057.7,4189216.33,0,0
235,CASH_OUT,31037.14,C1096326739,0.0,0.0,C2001113476,221296.84,439654.48,0,0
235,CASH_OUT,52006.44,C1532713739,0.0,0.0,C2102589599,2106915.66,2158922.1,0,0
235,CASH_OUT,74026.23,C908907167,0.0,0.0,C845314123,3581118.88,3655145.12,0,0
235,CASH_OUT,85011.59,C585619610,0.0,0.0,C821314925,134907.62,219919.21,0,0
235,CASH_OUT,464555.01,C667443347,0.0,0.0,C1558871905,7433870.33,7898425.34,0,0
235,CASH_OUT,78206.86,C642442338,0.0,0.0,C1921983609,330055.51,408262.38,0,0
235,CASH_OUT,58210.1,C1990357534,0.0,0.0,C357748660,61927.78,120137.89,0,0
235,CASH_OUT,4582.98,C1780307800,0.0,0.0,C1250421415,47757.03,52340.01,0,0
235,DEBIT,3208.29,C246775408,1994.0,0.0,C808766941,74786.47,77994.76,0,0
235,PAYMENT,118.96,C2142106160,10491.0,10372.04,M452615513,0.0,0.0,0,0
235,PAYMENT,2681.49,C442334921,10113.0,7431.51,M1061082380,0.0,0.0,0,0
235,CASH_OUT,163320.82,C798133417,10510.0,0.0,C1665509731,0.0,255065.75,0,0
235,CASH_OUT,86056.11,C1741294743,11475.0,0.0,C1555951576,14226.0,74187.53,0,0
235,TRANSFER,45482.14,C370187665,0.0,0.0,C1889511451,87398.67,132880.8,0,0
235,PAYMENT,5440.11,C1607449834,22281.0,16840.89,M1686340734,0.0,0.0,0,0
235,CASH_IN,111173.18,C1394246349,84200.0,195373.18,C780003722,1.10621159E7,1.12480768E7,0,0
235,PAYMENT,16242.67,C1098150186,195373.18,179130.51,M1669250306,0.0,0.0,0,0
235,TRANSFER,2634066.02,C455501159,15874.0,0.0,C1978057304,675992.43,3310058.46,0,0
235,CASH_IN,174779.52,C472748068,2366.0,177145.52,C835585504,754869.6,580090.08,0,0
235,CASH_OUT,229270.83,C2117230506,7016.0,0.0,C430798571,651505.03,880775.86,0,0
235,CASH_OUT,66154.12,C1748134851,14508.0,0.0,C2090237873,133797.65,199951.77,0,0
235,CASH_IN,99975.37,C1083647743,144.0,100119.37,C1634390376,0.0,0.0,0,0
235,CASH_OUT,218022.65,C818623097,50478.0,0.0,C1090308750,0.0,218022.65,0,0
235,PAYMENT,2928.52,C1558766789,0.0,0.0,M671084776,0.0,0.0,0,0
235,PAYMENT,11709.48,C1587972662,72368.0,60658.52,M924267361,0.0,0.0,0,0
235,TRANSFER,1698369.54,C750925706,141.0,0.0,C2056039856,371227.42,2069596.96,0,0
235,TRANSFER,79014.64,C1952643658,2063.0,0.0,C1761930797,264581.97,343596.61,0,0
235,CASH_OUT,114071.2,C511650250,16012.0,0.0,C607108676,354335.61,468406.81,0,0
235,CASH_OUT,26181.25,C276667743,50097.0,23915.75,C2026269079,0.0,26181.25,0,0
235,PAYMENT,12472.43,C759076541,143191.0,130718.57,M1315805690,0.0,0.0,0,0
235,CASH_IN,210291.86,C700176516,27103.0,237394.86,C2051170349,2770899.46,2560607.6,0,0
235,CASH_IN,226945.91,C1431322505,14501.0,241446.91,C513021383,258594.7,31648.79,0,0
235,CASH_OUT,127898.23,C209899744,241446.91,113548.68,C1618648039,1517325.05,1645223.28,0,0
235,PAYMENT,15130.0,C771893955,243.0,0.0,M1493874815,0.0,0.0,0,0
235,PAYMENT,3826.88,C233994400,23487.0,19660.12,M393067566,0.0,0.0,0,0
235,PAYMENT,24748.8,C679925810,19660.12,0.0,M616776733,0.0,0.0,0,0
235,CASH_OUT,178145.87,C988417885,31075.0,0.0,C571117389,2597277.58,2775423.44,0,0
235,DEBIT,9225.89,C1075595490,169849.0,160623.11,C1883690474,20833.37,30059.27,0,0
235,CASH_OUT,71458.95,C1589989275,160623.11,89164.16,C1243324652,233832.42,305291.37,0,0
235,CASH_IN,76801.61,C1612192754,112228.0,189029.61,C2055571100,242940.19,166138.58,0,0
235,CASH_IN,367732.49,C182612043,491.0,368223.49,C626725055,998637.09,630904.6,0,0
235,CASH_OUT,10290.41,C672883373,368223.49,357933.08,C1687782040,153935.36,164225.77,0,0
235,CASH_OUT,255098.64,C1549158818,21766.0,0.0,C1916837573,0.0,255098.64,0,0
235,CASH_OUT,102946.93,C2091982417,31374.0,0.0,C1306299052,2275.98,105222.91,0,0
235,PAYMENT,101.61,C1699236260,0.0,0.0,M380977578,0.0,0.0,0,0
235,CASH_OUT,129037.95,C2025853319,345667.0,216629.05,C973930897,1325673.25,1454711.2,0,0
235,CASH_OUT,252204.53,C217570136,55295.0,0.0,C1334565137,100055.34,352259.87,0,0
235,CASH_OUT,118872.21,C735421963,108557.0,0.0,C905125484,0.0,118872.21,0,0
235,CASH_OUT,108306.14,C391191242,0.0,0.0,C1393694166,551939.22,660245.36,0,0
235,CASH_OUT,121820.54,C1877306766,7182.0,0.0,C1164336141,0.0,121820.54,0,0
235,TRANSFER,133846.74,C1576687153,74264.0,0.0,C1893235400,0.0,133846.74,0,0
235,CASH_OUT,179839.89,C1528383099,22234.0,0.0,C1762347746,4606143.56,4785983.45,0,0
235,CASH_OUT,252309.82,C1149337752,896.0,0.0,C1866310845,2476371.84,2728681.66,0,0
235,PAYMENT,1400.62,C4988059,0.0,0.0,M260606333,0.0,0.0,0,0
235,PAYMENT,5011.8,C506670185,217674.0,212662.2,M1459546743,0.0,0.0,0,0
235,CASH_OUT,2328.95,C909544695,212662.2,210333.25,C1659573474,335241.08,337570.03,0,0
235,CASH_OUT,153266.45,C2101225517,847.0,0.0,C1324582539,0.0,153266.45,0,0
235,CASH_OUT,365484.43,C2062091143,52367.0,0.0,C964846751,271095.52,636579.95,0,0
235,PAYMENT,5917.64,C1541796863,323522.0,317604.36,M1496747328,0.0,0.0,0,0
235,TRANSFER,1604716.45,C1430632715,52.0,0.0,C1090284569,0.0,1604716.45,0,0
235,CASH_OUT,74225.73,C1736604959,1143.0,0.0,C458038430,1179980.88,1254206.61,0,0
235,CASH_IN,49174.52,C319553563,66565.0,115739.52,C1754713455,1.345082026E7,1.340164574E7,0,0
235,CASH_OUT,386006.97,C2126365623,139.0,0.0,C1156932428,285144.84,671151.81,0,0
235,CASH_OUT,62970.01,C105422986,150040.0,87069.99,C1188501960,845346.02,908316.03,0,0
235,PAYMENT,3114.59,C1918259161,87069.99,83955.4,M27891024,0.0,0.0,0,0
235,CASH_OUT,198599.85,C295263913,9168.0,0.0,C47393462,412245.07,610844.91,0,0
235,CASH_OUT,198798.59,C1385619680,815.0,0.0,C1494814718,1302857.02,1501655.61,0,0
235,CASH_OUT,44356.66,C310265324,29131.0,0.0,C298478123,334514.82,378871.47,0,0
235,CASH_OUT,212172.55,C1605386726,279579.0,67406.45,C2085157265,0.0,212172.55,0,0
235,CASH_OUT,190309.42,C67580079,49705.0,0.0,C562705709,0.0,190309.42,0,0
235,CASH_OUT,169212.09,C1634947375,71538.0,0.0,C2046266724,75256.47,244468.56,0,0
235,CASH_OUT,82260.26,C21113288,8657.0,0.0,C1390593036,1588598.06,1670858.32,0,0
235,CASH_OUT,89951.62,C1545660279,26216.0,0.0,C1188222101,486428.55,576380.17,0,0
235,TRANSFER,124085.71,C1629435412,0.0,0.0,C770136708,484120.91,608206.62,0,0
235,CASH_IN,566900.95,C438233393,5033.0,571933.95,C1382713017,169986.38,0.0,0,0
235,CASH_IN,6928.06,C167944147,612438.62,619366.69,C1375326600,0.0,0.0,0,0
235,TRANSFER,217114.4,C1371720379,619366.69,402252.29,C1885759044,1044372.1,1518729.67,0,0
235,TRANSFER,1212685.34,C1240856833,402252.29,0.0,C1031915095,5824431.79,7037117.13,0,0
235,CASH_IN,235277.02,C617600623,311.0,235588.02,C1116991087,0.0,0.0,0,0
235,CASH_OUT,180627.26,C984430882,235588.02,54960.75,C967549667,852436.78,1033064.04,0,0
235,CASH_OUT,223485.03,C2105392094,287.0,0.0,C1895377777,253360.79,476845.82,0,0
235,PAYMENT,1705.13,C455506049,0.0,0.0,M1098950948,0.0,0.0,0,0
235,CASH_IN,124382.17,C314047519,93758.0,218140.17,C876274002,9621999.35,9497617.18,0,0
235,PAYMENT,9316.5,C42206940,218140.17,208823.67,M709792893,0.0,0.0,0,0
235,PAYMENT,4459.45,C1849938329,208823.67,204364.22,M1127849802,0.0,0.0,0,0
235,PAYMENT,14664.26,C1638519575,204364.22,189699.96,M1058692643,0.0,0.0,0,0
235,PAYMENT,1034.74,C1327865664,189699.96,188665.23,M1089051169,0.0,0.0,0,0
235,PAYMENT,21854.3,C1870121024,188665.23,166810.93,M49379531,0.0,0.0,0,0
235,PAYMENT,7762.97,C1632446538,166810.93,159047.96,M1836687056,0.0,0.0,0,0
235,PAYMENT,2111.61,C1008566007,159047.96,156936.34,M891518623,0.0,0.0,0,0
235,PAYMENT,12620.6,C1034166025,156936.34,144315.75,M470452595,0.0,0.0,0,0
235,PAYMENT,33574.82,C1270326979,144315.75,110740.93,M1708064428,0.0,0.0,0,0
235,PAYMENT,19209.64,C2022697291,110740.93,91531.29,M814130744,0.0,0.0,0,0
235,PAYMENT,6576.97,C1190235989,91531.29,84954.32,M1415062201,0.0,0.0,0,0
235,PAYMENT,18021.35,C1394232520,84954.32,66932.97,M1445500917,0.0,0.0,0,0
235,PAYMENT,17956.89,C476651842,66932.97,48976.09,M154240412,0.0,0.0,0,0
235,PAYMENT,9325.28,C147649662,48976.09,39650.81,M449400237,0.0,0.0,0,0
235,PAYMENT,8863.34,C1342119047,39650.81,30787.47,M1248292225,0.0,0.0,0,0
235,PAYMENT,12536.88,C635903927,30787.47,18250.59,M1964219011,0.0,0.0,0,0
235,PAYMENT,4569.08,C1119857538,18250.59,13681.51,M860216625,0.0,0.0,0,0
235,PAYMENT,3742.81,C776103497,13681.51,9938.7,M1198270080,0.0,0.0,0,0
235,PAYMENT,249.89,C2024826452,9938.7,9688.8,M1694597158,0.0,0.0,0,0
235,PAYMENT,512.21,C1481425633,9688.8,9176.59,M2125637454,0.0,0.0,0,0
235,PAYMENT,4017.65,C88861706,9176.59,5158.94,M1822579765,0.0,0.0,0,0
235,CASH_OUT,80526.29,C1380438154,134854.0,54327.71,C1263288555,1699918.23,1780444.52,0,0
235,CASH_OUT,175346.39,C958694747,22233.0,0.0,C1862846325,0.0,261756.36,0,0
235,CASH_OUT,213752.48,C1666516425,41107.0,0.0,C1258306902,10436.33,224188.81,0,0
235,CASH_OUT,102908.39,C501788258,59651.0,0.0,C2022672604,1906401.2,2009309.59,0,0
235,PAYMENT,8389.26,C1900539605,240090.0,231700.74,M1825879035,0.0,0.0,0,0
235,PAYMENT,1424.96,C669292773,15077.0,13652.04,M2133305797,0.0,0.0,0,0
235,PAYMENT,7072.61,C827900338,528966.0,521893.39,M2019227401,0.0,0.0,0,0
235,PAYMENT,18329.22,C2080013143,134606.0,116276.78,M961649772,0.0,0.0,0,0
235,CASH_OUT,102751.02,C1316196261,116276.78,13525.76,C1905923711,867085.04,969836.06,0,0
235,PAYMENT,15223.96,C1639893981,55855.0,40631.04,M1228289150,0.0,0.0,0,0
235,PAYMENT,2133.27,C2092004296,19987.0,17853.73,M787338588,0.0,0.0,0,0
235,TRANSFER,169747.82,C958010239,17853.73,0.0,C638756746,1186999.07,1356746.9,0,0
235,CASH_IN,109917.18,C1098335718,36588.0,146505.18,C1157813462,0.0,0.0,0,0
235,PAYMENT,14942.15,C917455155,146505.18,131563.03,M1990735247,0.0,0.0,0,0
235,PAYMENT,13833.39,C532697550,59776.0,45942.61,M1692626853,0.0,0.0,0,0
235,PAYMENT,13042.88,C671681747,45942.61,32899.73,M523915280,0.0,0.0,0,0
235,CASH_IN,8520.75,C48835608,22555.0,31075.75,C1787865449,595998.88,587478.13,0,0
235,CASH_IN,213578.51,C2106127783,100996.0,314574.51,C467310217,0.0,0.0,0,0
235,CASH_IN,154478.76,C487002449,11270.0,165748.76,C1754514156,424965.08,270486.31,0,0
235,CASH_IN,149367.06,C1357936689,493.0,149860.06,C1180439658,379846.91,230479.85,0,0
235,PAYMENT,18216.4,C456267739,149860.06,131643.66,M565050583,0.0,0.0,0,0
235,CASH_IN,73164.03,C67501098,2538.0,75702.03,C150806116,63525.92,0.0,0,0
235,CASH_OUT,8330.21,C1474768235,17218.0,8887.79,C1512899960,0.0,8330.21,0,0
235,TRANSFER,214194.74,C1558209667,8887.79,0.0,C866301609,7565250.14,7779444.88,0,0
235,CASH_IN,256207.93,C308637836,162471.0,418678.93,C474625235,691581.27,435373.35,0,0
235,PAYMENT,1282.79,C959068742,418678.93,417396.14,M1472779389,0.0,0.0,0,0
235,PAYMENT,5289.96,C148076155,10916.0,5626.04,M822839037,0.0,0.0,0,0
235,TRANSFER,2857820.58,C1494971024,50829.0,0.0,C1424097089,245863.55,3103684.13,0,0
235,CASH_OUT,48766.98,C1222721266,6061.0,0.0,C1870382847,3137633.44,3186400.42,0,0
235,CASH_OUT,145487.9,C1527970107,5337.0,0.0,C504996582,4774440.66,4919928.56,0,0
235,CASH_IN,104773.84,C910405834,27327.0,132100.84,C1191928251,374788.37,270014.53,0,0
235,CASH_OUT,206253.94,C885971808,459210.0,252956.06,C1247354678,0.0,206253.94,0,0
235,TRANSFER,230428.08,C1972991397,252956.06,22527.98,C1745985960,4909702.16,5140130.24,0,0
235,CASH_OUT,231093.49,C957255948,4085.0,0.0,C245108655,0.0,231093.49,0,0
235,PAYMENT,8521.26,C308323079,27566.0,19044.74,M1354199024,0.0,0.0,0,0
235,CASH_OUT,24960.63,C1857887262,56144.0,31183.37,C884508954,3620532.33,3645492.96,0,0
235,CASH_OUT,29283.99,C603354676,31183.37,1899.38,C914308868,316645.8,345929.8,0,0
235,CASH_OUT,168845.94,C882479574,21242.0,0.0,C721963381,5338187.7,5972133.99,0,0
235,CASH_OUT,76128.24,C1597681754,908.0,0.0,C1630963813,0.0,152524.39,0,0
235,CASH_IN,48866.83,C1499531855,154725.0,203591.83,C830851590,331019.96,282153.13,0,0
235,CASH_OUT,203040.82,C1236701313,31137.0,0.0,C48896563,0.0,203040.82,0,0
235,CASH_OUT,206361.46,C827965248,62617.0,0.0,C1503429350,0.0,206361.46,0,0
235,TRANSFER,960588.2,C996893009,41747.0,0.0,C1063986664,17660.81,978249.01,0,0
235,CASH_OUT,54789.89,C1778988801,11344.0,0.0,C1100131401,402651.4,457441.29,0,0
235,CASH_IN,34889.76,C390496345,408855.0,443744.76,C899359721,0.0,0.0,0,0
235,PAYMENT,11037.98,C1796836942,443744.76,432706.79,M194513813,0.0,0.0,0,0
235,CASH_OUT,32075.43,C680170712,15240.0,0.0,C335935746,1194522.22,1226597.65,0,0
235,TRANSFER,696519.51,C191733208,0.0,0.0,C1497264261,2377452.64,3073972.15,0,0
235,TRANSFER,25091.78,C748755205,0.0,0.0,C544832597,147629.19,172720.97,0,0
235,PAYMENT,17771.66,C1731099559,28261.0,10489.34,M461246414,0.0,0.0,0,0
235,PAYMENT,17294.59,C2082132516,16208.0,0.0,M1482134931,0.0,0.0,0,0
235,TRANSFER,184182.32,C1286618749,10375.0,0.0,C399039406,939345.95,1123528.27,0,0
235,PAYMENT,11652.72,C660297818,861.0,0.0,M234497383,0.0,0.0,0,0
235,PAYMENT,10896.83,C1768280646,106110.0,95213.17,M611011265,0.0,0.0,0,0
235,PAYMENT,3259.21,C1494179742,312.0,0.0,M84052165,0.0,0.0,0,0
